Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PFS,ORB,DRB,REB,AST,STL,BLK,PTS
James Harden,HOU,72,35.4,9.0,20.1,0.45,3.7,10.0,0.37,8.7,10.1,0.86,4.4,2.3,0.6,4.8,5.4,8.8,1.8,0.7,30.4
Anthony Davis,NOP,75,36.4,10.4,19.5,0.53,0.7,2.2,0.34,6.6,8.0,0.83,2.2,2.1,2.5,8.6,11.1,2.3,1.5,2.6,28.1
LeBron James,CLE,82,36.9,10.5,19.3,0.54,1.8,5.0,0.37,4.7,6.5,0.73,4.2,1.6,1.2,7.5,8.6,9.1,1.4,0.9,27.5
Damian Lillard,POR,73,36.6,8.5,19.4,0.44,3.1,8.6,0.36,6.8,7.4,0.92,2.8,1.6,0.8,3.6,4.5,6.6,1.1,0.4,26.9
Giannis Antetokounmpo,MIL,75,36.8,9.9,18.7,0.53,0.6,1.9,0.31,6.5,8.5,0.76,3.0,3.1,2.1,8.0,10.0,4.8,1.5,1.4,26.9
Stephen Curry,GSW,51,32.0,8.4,16.9,0.49,4.2,9.8,0.42,5.5,5.9,0.92,3.0,2.2,0.7,4.4,5.1,6.1,1.6,0.2,26.4
Kevin Durant,GSW,68,34.2,9.3,18.0,0.52,2.5,6.1,0.42,5.3,5.9,0.89,3.0,2.0,0.5,6.4,6.8,5.4,0.7,1.8,26.4
Russell Westbrook,OKC,80,36.4,9.5,21.1,0.45,1.2,4.1,0.3,5.2,7.1,0.74,4.8,2.5,1.9,8.2,10.1,10.2,1.8,0.2,25.4
Kyrie Irving,BOS,60,32.2,8.9,18.1,0.49,2.8,6.8,0.41,3.9,4.3,0.89,2.3,2.0,0.6,3.2,3.8,5.1,1.1,0.3,24.4
LaMarcus Aldridge,SAS,75,33.4,9.2,18.0,0.51,0.4,1.2,0.29,4.5,5.3,0.84,1.5,2.1,3.3,5.2,8.5,2.0,0.6,1.2,23.1
Victor Oladipo,IND,75,34.0,8.5,17.9,0.48,2.1,5.8,0.37,3.9,4.9,0.8,2.9,2.3,0.6,4.6,5.2,4.3,2.4,0.8,23.1
DeMar DeRozan,TOR,80,33.9,8.1,17.7,0.46,1.1,3.6,0.31,5.8,7.0,0.82,2.2,1.9,0.7,3.2,3.9,5.2,1.1,0.3,23.0
Joel Embiid,PHI,63,30.4,8.1,16.8,0.48,1.0,3.4,0.31,5.7,7.4,0.77,3.7,3.3,2.3,8.7,11.0,3.2,0.6,1.8,22.9
Bradley Beal,WAS,82,36.3,8.3,18.1,0.46,2.4,6.5,0.38,3.6,4.5,0.79,2.6,2.0,0.7,3.7,4.4,4.5,1.2,0.4,22.6
Lou Williams,LAC,79,32.8,7.4,16.9,0.43,2.4,6.6,0.36,5.5,6.2,0.88,3.0,1.3,0.5,2.0,2.5,5.3,1.1,0.2,22.6
Jimmy Butler,MIN,59,36.7,7.4,15.6,0.47,1.2,3.4,0.35,6.2,7.2,0.85,1.8,1.3,1.3,4.0,5.3,4.9,2.0,0.4,22.2
Kemba Walker,CHA,80,34.2,7.3,17.0,0.43,2.9,7.5,0.38,4.5,5.2,0.86,2.2,1.2,0.4,2.7,3.1,5.5,1.1,0.3,22.1
Paul George,OKC,79,36.6,7.3,17.0,0.43,3.1,7.7,0.4,4.3,5.2,0.82,2.7,2.9,0.9,4.7,5.7,3.3,2.0,0.5,21.9
Blake Griffin,DET,58,34.0,7.5,17.2,0.44,1.9,5.6,0.34,4.5,5.7,0.79,2.8,2.4,1.3,6.1,7.4,5.8,0.7,0.3,21.4
C.J. McCollum,POR,81,36.1,8.2,18.6,0.44,2.3,5.9,0.4,2.6,3.1,0.84,1.9,2.1,0.7,3.3,4.0,3.4,1.0,0.4,21.4
Karl-Anthony Towns,MIN,82,35.6,7.8,14.3,0.55,1.5,3.5,0.42,4.2,4.9,0.86,1.9,3.5,2.9,9.4,12.3,2.4,0.8,1.4,21.3
Donovan Mitchell,UTA,79,33.4,7.5,17.2,0.44,2.4,7.0,0.34,3.0,3.8,0.81,2.7,2.7,0.7,3.1,3.7,3.7,1.5,0.3,20.5
Khris Middleton,MIL,82,36.4,7.2,15.5,0.47,1.8,5.0,0.36,3.9,4.4,0.88,2.3,3.3,0.5,4.7,5.2,4.0,1.5,0.3,20.1
Klay Thompson,GSW,73,34.3,7.9,16.1,0.49,3.1,7.1,0.44,1.1,1.3,0.84,1.8,1.6,0.4,3.4,3.8,2.5,0.8,0.5,20.0
T.J. Warren,PHX,65,33.0,8.1,16.4,0.5,0.3,1.4,0.22,3.0,3.9,0.76,1.3,2.3,1.9,3.2,5.1,1.3,1.0,0.6,19.6
Dennis Schroder,ATL,67,31.0,7.5,17.1,0.44,1.1,3.9,0.29,3.4,4.0,0.85,2.7,2.2,0.7,2.4,3.1,6.2,1.1,0.1,19.4
Jrue Holiday,NOP,81,36.1,7.6,15.4,0.49,1.5,4.4,0.34,2.3,2.9,0.79,2.6,2.5,0.8,3.7,4.5,6.0,1.5,0.8,19.0
Harrison Barnes,DAL,77,34.2,7.0,15.7,0.45,1.5,4.3,0.36,3.4,4.1,0.83,1.5,1.2,1.0,5.1,6.1,2.0,0.6,0.2,18.9
Chris Paul,HOU,58,31.8,6.3,13.8,0.46,2.5,6.5,0.38,3.5,3.8,0.92,2.2,2.4,0.6,4.8,5.4,7.9,1.7,0.2,18.6
Tobias Harris,LAC,80,33.4,7.0,15.3,0.46,2.3,5.6,0.41,2.2,2.7,0.83,1.3,2.0,0.7,4.7,5.5,2.4,0.9,0.4,18.6
Nikola Jokic,DEN,75,32.5,6.7,13.5,0.5,1.5,3.7,0.4,3.5,4.2,0.85,2.8,2.8,2.6,8.1,10.7,6.1,1.2,0.8,18.5
